Node_Id	x_coord	y_coord
55299	429035.038	4580906.674
49169	428774.133	4583135.326
49158	428663.367	4583104.245
55304	429032.735	4581044.797
45066	428636.834	4582412.629
46765	430778.102	4581752.009
20496	429124.836	4583356.335
45073	428633.291	4582368.968
19118	428902.544	4581705.823
49174	428627.56	4583024.816
49178	428375.909	4582949.702
45084	428765.87	4582333.448
20513	432522.458	4581625.491
45095	428895.062	4582292.072
20520	432429.651	4581787.962
46087	429437.617	4581581.783
20527	429571.016	4581704.709
45109	429031.803	4582255.266
46772	430913.532	4581704.25
45117	429173.153	4582283.011
19125	429035.532	4581706.381
45124	428233.726	4582275.048
19097	428499.218	4581753.286
45131	428366.212	4582275.814
45138	428499.559	4582276.904
46512	432259.289	4582147.516
54969	428163.32	4581745.313
45145	428634.13	4582277.783
49167	428751.245	4583117.506
43706	429642.721	4581568.797
45152	428766.699	4582275.953
45159	429305.342	4582281.585
20585	429168.376	4583341.686
20588	429218.39	4583375.82
45166	429439.721	4582281.659
42344	429164.301	4580775.97
20594	429101.967	4583387.696
45173	429574.856	4582281.707
20599	429106.783	4583420.766
20604	429178.18	4583454.905
20607	429137.534	4583454.068
49281	428699.687	4583081.882
45187	429840.779	4582279.655
20612	430380.62	4582825.172
54977	427967.23	4581710.911
45194	429976.682	4582281.184
20620	430359.571	4582791.459
45201	430163.809	4582283.771
45763	429437.834	4581879.713
20633	430335.317	4582828.827
41116	429572.783	4583199.652
45213	430513.102	4582278.809
20640	430316.283	4582806.179
20642	431998.406	4582011.669
45220	430646.959	4582280.433
41125	429434.506	4583219.488
20648	431849.479	4581702.678
49180	428494.413	4582956.301
41131	429475.815	4583222.095
20652	431150.125	4581760.722
41133	429305.296	4583301.709
41136	429134.053	4583485.016
41138	429174.588	4583489.137
20663	430646.516	4581700.805
45241	431049.541	4582282.39
45770	429573.55	4581877.659
45970	430777.679	4581715.928
45248	431181.513	4582282.905
54972	428208.029	4581746.2
46925	428097.906	4582280.228
45257	431046.835	4582412.761
45264	431318.382	4582416.321
46115	428901.059	4581445.997
45271	431451.209	4582417.394
45278	431584.556	4582414.174
45285	431718.326	4582415.921
45777	429708.688	4581877.773
45292	431871.035	4582414.401
45299	432000.058	4582413.38
45306	431314.894	4582329.204
46463	428767.018	4582948.493
45312	431314.87	4582277.215
45319	431407.811	4582283.311
45324	431584.831	4582280.139
18703	432649.596	4581714.118
20752	428366.344	4582852.375
18707	432534.234	4581797.994
18712	432630.795	4581767.976
45338	429305.442	4582184.131
18716	432541.63	4581651.326
18719	432583.34	4581687.385
18721	432571.448	4581664.144
45787	429975.439	4581880.43
18724	432590.154	4581674.998
18726	432617.171	4581697.718
18728	432634.14	4581710.199
18730	432583.183	4581759.458
18732	432567.987	4581777.574
18734	432703.473	4581727.804
46813	431999.879	4581750.171
45361	428233.233	4582147.367
18738	432491.043	4581661.902
18740	432493.034	4581793.091
18743	432428.966	4581701.033
18745	432655.833	4581626.934
45370	428499.035	4582145.146
18752	432665.354	4581657.769
45377	428634.492	4582142.96
45384	428767.489	4582145.056
20813	429707.431	4581750.988
45391	428902.335	4582147.517
46136	428499.954	4581447.111
20820	429706.172	4581707.045
45398	429035.115	4582146.764
46820	431577.374	4582170.543
20826	429837.697	4581744.101
20829	429977.849	4581705.087
21563	429167.328	4581388.172
20836	430179.842	4581745.668
46794	431451.417	4581750.754
41321	431850.04	4581537.71
20842	430336.974	4581752.825
45419	429707.857	4582147.034
20848	430148.184	4581731.271
45426	429839.161	4582215.566
45429	429894.68	4582146.146
20856	430182.601	4581713.988
45434	429784.217	4582146.433
20862	430304.571	4581750.997
45440	429839.999	4582083.248
45443	429975.365	4582147.24
20869	430301.493	4581709.296
45450	430163.099	4582147.044
20876	430342.722	4581712.066
45460	430512.331	4582146.094
20887	430320.993	4582216.029
20889	430347.904	4582097.996
20891	430353.285	4582147.306
20896	430333.839	4582146.323
45474	430780.736	4582144.891
45467	430647.033	4582144.641
20901	430316.161	4582146.207
45481	430914.79	4582146.551
20907	430358.958	4582281.71
20912	430339.484	4582284.018
55027	427995.102	4581699.729
20919	430342.738	4582417.916
20926	430326.602	4582416.214
45504	431317.666	4582145.999
20931	430348.854	4582553.448
45511	431451.464	4582145.227
25032	431719.315	4582818.443
20938	430330.703	4582551.464
43767	430779.353	4581249.506
45518	431579.62	4582196.378
20943	430509.064	4581704.163
20948	430644.882	4581752.362
45721	428633.235	4581878.407
45817	430510.285	4581882.461
20953	430912.686	4581751.025
45531	428370.367	4582007.868
20958	432130.861	4581728.056
45541	428634.809	4582011.549
20972	431998.753	4581972.309
20977	431768.331	4582113.992
45555	428901.977	4582011.229
20981	431195.6	4582369.811
23030	432471.954	4581768.997
46505	432389.254	4582149.48
45562	429036.769	4582011.391
20988	431205.228	4582411.56
45569	429169.832	4582010.439
23043	432400.428	4581709.928
20998	431130.521	4582419.861
41729	432524.05	4582539.936
45576	429305.472	4582011.211
23050	432617.907	4581653.271
23053	432632.815	4581674.902
45583	429439.193	4582012.091
23056	432643.309	4581719.907
21009	431164.649	4582380.294
23060	432610.617	4581794.539
45589	429574.313	4582014.898
21015	431047.031	4582462.777
45596	429708.157	4582014.143
21022	431047.081	4582440.083
45488	431047.957	4582146.643
21027	430917.813	4582554.935
45608	429976.179	4582015.606
21036	430912.934	4582529.872
45615	430166.849	4582013.886
21042	429975.84	4582972.409
21047	429571.954	4583227.069
45625	430338.516	4582012.929
46801	431584.674	4581703.87
21051	429573.632	4583173.166
21056	429261.239	4583383.132
45749	429169.337	4581878.295
45639	430509.935	4582012.354
21065	429257.437	4583354.433
45495	431180.755	4582148.775
45646	430646.271	4582011.623
21071	429254.999	4583333.547
21076	429437.44	4583240.437
45653	430779.577	4582012.728
54849	428885.589	4580895.894
21081	429436.674	4583265.691
45660	430912.443	4582012.359
25181	430345.609	4582853.189
21087	429438.245	4583289.551
45667	431048.22	4582012.38
21092	429709.53	4583159.077
45234	430914.601	4582281.651
54986	428097.311	4581727.298
45674	431181.761	4582013.07
21099	429707.272	4583132.97
21105	429708.24	4583103.974
45683	431315.999	4582011.164
21109	429979.429	4582997.138
19065	429844.398	4583038.518
45690	431450.07	4582010.918
19067	429848.169	4583054.972
19069	429867.27	4583057.348
21118	430060.849	4582981.855
19072	429868.499	4583076.377
45697	431585.734	4582011.85
21122	430052.465	4582960.675
19076	429978.29	4583023.505
21127	430045.318	4582941.618
19080	430512.456	4582756.203
21130	430599.228	4582687.816
45707	428364.031	4581878.404
19085	430512.261	4582708.376
21135	430648.317	4582639.269
19090	428365.139	4581706.857
21139	430647.137	4582663.616
41623	430779.4	4581444.441
21145	430648.066	4582689.782
41628	430913.304	4581444.567
19104	428632.46	4581704.682
21153	432407.2	4581766.134
21156	430779.247	4582573.694
41638	431047.864	4581310.465
19111	428767.954	4581752.544
21161	431202.367	4582551.447
41643	431314.573	4581441.712
21166	431317.875	4582354.943
45853	431318.064	4581879.574
41648	431313.69	4581309.671
21171	431451.306	4582277.973
41653	431449.2	4581443.175
45714	428498.857	4581877.698
41658	431447.584	4581310.439
19132	429170.015	4581753.605
21182	431584.022	4582221.19
41663	431430.586	4581172.065
43712	429572.82	4581526.405
41666	431582.957	4581444.279
19139	431811.765	4582686.157
43717	429484.341	4581442.527
41671	431990.208	4581441.215
41674	431992.111	4581575.265
21199	432400.332	4581746.892
43728	429440.926	4581416.642
41681	432192.853	4581873.659
41683	432119.425	4581871.37
41686	432258.085	4582011.297
45784	429841.005	4581882.672
45860	431450.229	4581877.295
41691	431449.943	4581045.577
45920	429036.27	4581728.343
45794	430166.625	4581879.221
41701	431582.358	4581043.437
45180	429709.027	4582281.733
45804	430321.95	4581880.175
41709	431718.955	4581046.602
43758	430582.851	4581384.883
43761	430605.774	4581363.113
41714	432524.506	4582951.09
43764	430718.837	4581244.473
19191	432529.076	4582680.672
45524	431583.101	4582144.905
43772	430831.249	4581243.986
43774	430910.967	4581244.002
45824	430644.96	4581883.959
19201	432524.853	4582818.003
43781	431007.864	4581208.338
45831	430779.514	4581884.307
43784	431066.051	4581188.78
45839	430912.165	4581882.507
41744	432523.876	4582412.52
43795	431315.559	4581046.833
45846	431049.025	4581878.706
41754	432523.599	4582278.818
42458	430379.481	4581354.585
41764	432388.241	4582011.636
41769	432522.885	4582008.891
45867	431585.307	4581877.504
19247	432128.964	4582078.365
45874	428234.228	4581734.873
19252	432255.262	4582108.55
45534	428499.482	4582011.251
23350	431050.456	4582818.469
19255	432523.567	4582145.063
45884	428364.758	4581728.374
23357	431203.368	4582818.504
45891	428499.478	4581729.295
45899	428633.157	4581729.108
45906	428768.276	4581729.298
46563	431849.268	4581875.476
46905	429038.299	4582282.538
45913	428901.262	4581729.654
39771	429707.397	4581671.963
39774	429885.359	4581649.603
39776	430161.723	4581449.508
39779	429119.402	4581181.5
39781	429080.716	4581044.311
45926	429170.058	4581730.246
39783	429104.309	4580908.917
45934	429304.503	4581729.212
19312	432522.279	4581826.353
19315	432388.435	4581812.33
45940	429436.93	4581729.369
19318	432256.35	4581879.905
19321	432254.346	4581836.834
45947	429572.559	4581730.145
19324	432127.108	4581943.894
19329	432124.747	4581907.337
45954	431182.502	4581877.605
19334	432384.428	4581779.331
19336	432248.173	4581747.599
45548	428768.431	4582011.921
45963	430645.459	4581727.078
19341	432249.964	4581709.485
41873	429111.677	4580671.001
19346	432250.01	4581680.329
41875	429102.226	4580657.395
41877	427937.976	4581714.045
41879	427995.283	4581812.858
23448	431453.539	4582683.428
41881	427987.968	4581807.711
19354	431721.452	4581310.08
41883	428093.695	4581799.149
41886	429099.237	4580773.307
19359	431995.21	4581309.163
41888	427962.197	4581726.137
41890	428092.333	4581727.105
41892	428010.495	4581698.959
41895	428031.919	4581679.257
19371	432391.938	4581544.655
45996	431317.018	4581729.715
19373	432389.846	4581592.684
19378	432258.048	4581453.189
46008	431450.934	4581713.424
19385	432121.087	4581317.447
46018	431584.546	4581737.999
41923	428380.197	4582822.175
19396	431585.285	4581314.298
41927	428231.392	4582738.7
46031	428365.544	4581583.505
41937	428102.883	4582530.059
19411	431871.982	4581051.192
46038	428499.674	4581581.877
19416	431882.708	4581087.592
41945	428130.645	4582598.431
19418	431844.513	4581094.299
41947	428165.391	4582547.267
19420	431855.103	4581076.906
46045	428633.705	4581581.702
41950	428083.727	4582618.542
19424	431829.648	4581069.256
19427	431813.473	4581039.155
46052	428768.58	4581581.414
41961	428536.824	4581215.706
46059	428900.86	4581580.846
41964	428637.345	4581115.905
41967	428701.119	4581053.724
41128	429506.061	4583257.58
41970	428777.006	4580989.908
23542	431204.225	4582685.866
41977	428809.284	4580947.01
41979	428920.284	4580831.459
23549	431319.512	4582685.91
41982	429041.686	4580709.413
46080	429305.033	4581581.341
41985	429082.804	4580661.81
45227	430781.312	4582282.697
23556	431387.44	4582688.444
23559	431585.693	4582687.201
46094	429304.525	4581447.963
23569	430910.249	4582819.498
21522	429601.391	4583212.545
46101	429172.234	4581446.319
23577	430774.488	4582820.031
46108	429034.752	4581446.564
23584	430630.706	4582818.984
44067	430169.529	4581332.095
23046	432440.62	4581646.433
23593	430570.256	4582822.195
46122	428767.574	4581445.35
20658	431146.996	4581707.873
23598	430517.399	4582815.872
46129	428633.448	4581445.515
23605	430476.382	4582821.79
21560	429038.112	4581388.121
23611	430292.276	4582867.927
44093	431177.746	4581215.19
23614	430166.279	4582928.704
46143	428633.01	4581310.298
23392	431161.389	4582819.706
23621	430162.746	4582906.921
46150	428769.692	4581310.641
44106	430334.626	4581350.274
46156	428900.501	4581311.196
44109	430312.935	4581380.019
23630	430140.639	4582890.852
44114	430093.541	4581310.25
46163	429033.858	4581311.965
44117	430145.503	4581359.864
46170	429035.079	4581179.91
